time,gpu_util,gpu_vram_mb,gpu_temp,cpu_pct,ram_pct,disk_read_mb_s,disk_write_mb_s
16:40:42,17,306.0,70.0,23,30,0.0,0.0
16:40:44,37,306.0,70.0,22,30,0.0,0.1
16:40:46,29,306.0,70.0,20,30,0.0,0.0
16:40:48,16,306.0,70.0,23,30,0.0,0.1
16:40:50,36,306.0,70.0,25,30,0.0,0.0
16:40:52,32,306.0,70.0,24,30,0.0,0.1
16:40:54,32,306.0,71.0,24,30,0.0,0.4
16:40:56,20,306.0,70.0,24,30,0.0,0.4
16:40:59,36,306.0,70.0,22,30,0.0,0.1
16:41:01,28,132.0,70.0,24,26,0.0,0.2
16:41:03,0,132.0,69.0,9,26,0.0,0.1
16:41:05,0,132.0,69.0,15,26,0.0,0.3
16:41:07,0,132.0,68.0,7,26,0.0,0.1
16:41:09,0,132.0,67.0,7,26,0.0,0.1
16:41:11,0,132.0,67.0,7,26,0.0,0.0
16:41:13,0,132.0,67.0,13,26,0.0,0.2
16:41:15,0,132.0,66.0,9,26,0.0,0.2
16:41:17,0,132.0,66.0,7,26,0.0,0.1
16:41:19,0,132.0,65.0,7,26,0.0,0.1
16:41:21,0,132.0,65.0,8,26,0.0,0.0
16:41:23,0,132.0,64.0,9,26,0.0,0.6
16:41:25,0,132.0,64.0,7,26,0.0,0.1
16:41:27,0,132.0,63.0,7,26,0.0,0.1
16:41:29,0,132.0,63.0,6,26,0.0,0.2
16:41:31,0,132.0,63.0,8,26,0.0,0.0
16:41:33,0,132.0,62.0,9,26,0.0,0.0
16:41:35,0,132.0,62.0,15,26,0.1,0.2
16:41:38,0,132.0,62.0,6,26,0.1,0.2
16:41:40,0,132.0,62.0,8,26,0.0,2.3
16:41:42,0,132.0,62.0,19,27,0.0,0.6
16:41:44,0,132.0,62.0,19,27,0.1,0.4
16:41:46,0,132.0,62.0,18,28,0.0,4.8
16:41:48,0,132.0,63.0,17,28,0.0,0.4
16:41:50,0,132.0,63.0,21,28,0.0,1.1
16:41:52,2,354.0,64.0,25,30,0.1,2.3
16:41:54,35,374.0,65.0,24,30,0.1,0.6
16:41:56,34,374.0,66.0,23,30,0.0,0.0
16:41:58,36,374.0,66.0,22,30,0.0,0.1
16:42:00,36,374.0,67.0,25,30,0.0,0.2
16:42:02,37,374.0,68.0,22,30,0.0,0.0
16:42:04,38,374.0,68.0,21,30,0.0,0.0
16:42:06,35,374.0,68.0,22,30,0.0,0.0
16:42:08,39,374.0,69.0,25,30,0.0,0.0
16:42:10,33,374.0,69.0,39,30,0.0,1.1
16:42:12,36,374.0,69.0,29,30,0.0,0.0
16:42:15,32,374.0,69.0,34,30,0.0,0.2
16:42:17,32,374.0,69.0,42,30,0.0,0.1
16:42:19,33,374.0,69.0,48,31,0.0,0.1
16:42:21,36,378.0,70.0,45,31,0.0,0.4
16:42:23,30,378.0,70.0,43,31,0.0,0.1
16:42:25,35,378.0,70.0,49,31,0.0,0.6
16:42:27,35,378.0,71.0,46,31,0.0,1.0
16:42:29,37,378.0,71.0,39,31,0.0,0.8
16:42:31,33,378.0,71.0,42,31,0.0,0.4
16:42:33,36,378.0,71.0,40,31,0.0,0.2
16:42:35,37,378.0,71.0,39,31,0.1,0.1
16:42:37,38,378.0,72.0,32,31,0.1,0.2
16:42:39,36,378.0,72.0,38,31,0.1,0.5
16:42:41,34,378.0,72.0,38,32,0.1,0.3
16:42:43,28,378.0,72.0,49,32,0.2,0.3
16:42:45,34,378.0,72.0,44,32,0.0,0.2
16:42:47,37,378.0,72.0,43,31,0.1,0.2
16:42:50,0,136.0,71.0,36,28,0.2,2.8
16:42:52,0,136.0,71.0,28,28,0.0,0.1
16:42:54,0,136.0,70.0,26,28,0.0,0.0
16:42:56,0,136.0,70.0,22,28,0.0,0.1
16:42:58,0,136.0,70.0,22,28,0.0,0.1
16:43:00,0,136.0,69.0,25,28,0.0,0.1
16:43:02,0,136.0,69.0,25,28,0.0,0.2
16:43:04,0,136.0,69.0,23,28,0.0,0.0
16:43:06,0,136.0,69.0,25,28,0.0,0.0
16:43:08,0,136.0,68.0,20,28,0.0,0.0
16:43:10,0,136.0,68.0,25,28,0.0,0.3
16:43:12,0,136.0,68.0,21,28,0.0,0.1
16:43:14,0,136.0,68.0,20,28,0.0,0.0
16:43:16,0,136.0,67.0,21,28,0.0,0.1
16:43:18,0,136.0,67.0,25,28,0.0,0.6
16:43:20,0,136.0,67.0,24,28,0.0,0.1
16:43:22,0,136.0,67.0,20,28,0.0,0.0
16:43:24,0,136.0,67.0,25,28,0.0,0.0
16:43:27,0,136.0,67.0,23,28,0.0,0.1
16:43:29,0,136.0,66.0,26,28,0.0,0.1
16:43:31,0,136.0,66.0,23,28,0.0,0.1
16:43:33,0,136.0,66.0,22,28,0.0,0.0
16:43:35,0,136.0,66.0,25,28,0.1,0.3
16:43:37,0,136.0,66.0,26,28,0.3,0.3
16:43:39,0,136.0,66.0,22,28,0.1,0.1
16:43:41,0,136.0,66.0,22,28,0.0,0.4
16:43:43,0,136.0,65.0,25,28,0.0,0.0
16:43:45,0,136.0,65.0,26,28,0.0,0.0
16:43:47,0,136.0,65.0,25,28,0.1,1.0
16:43:49,0,136.0,65.0,23,28,0.0,0.4
16:43:51,0,136.0,65.0,21,28,0.0,0.1
16:43:53,0,136.0,65.0,23,28,0.0,0.0
16:43:55,0,136.0,65.0,32,28,0.5,0.1
16:43:57,0,136.0,65.0,27,28,0.0,0.2
16:43:59,0,136.0,65.0,21,28,0.0,0.0
16:44:02,0,136.0,64.0,25,28,0.0,0.2
16:44:04,0,136.0,65.0,25,28,0.0,0.0
16:44:06,0,136.0,64.0,23,28,0.0,0.2
16:44:08,0,136.0,64.0,22,28,0.0,0.0
16:44:10,0,136.0,64.0,22,28,0.0,0.3
16:44:12,0,136.0,64.0,22,28,0.0,0.1
16:44:14,0,136.0,64.0,26,28,0.0,0.0
16:44:16,0,136.0,64.0,22,28,0.0,0.0
16:44:18,0,136.0,64.0,26,28,0.0,0.1
16:44:20,0,136.0,64.0,23,28,0.0,0.0
16:44:22,0,136.0,64.0,28,28,0.0,0.2
16:44:24,0,136.0,64.0,28,28,0.1,0.0
16:44:26,0,136.0,64.0,29,28,0.0,0.5
16:44:28,0,136.0,64.0,29,28,0.0,0.1
16:44:30,0,136.0,64.0,22,28,0.0,0.1
16:44:32,0,136.0,64.0,30,28,0.0,0.0
16:44:34,0,136.0,64.0,18,28,0.0,0.0
16:44:36,0,136.0,64.0,13,28,0.0,1.7
16:44:39,0,136.0,63.0,16,28,0.0,0.2
16:44:41,0,136.0,63.0,12,28,0.0,0.3
16:44:43,0,136.0,62.0,14,28,0.0,0.1
16:44:45,0,136.0,62.0,16,28,0.0,0.0
16:44:47,0,136.0,62.0,14,28,0.0,0.1
16:44:49,0,136.0,62.0,15,28,0.1,0.2
16:44:51,0,136.0,61.0,11,28,0.0,0.0
16:44:53,0,136.0,61.0,18,28,0.0,0.1
16:44:55,0,136.0,61.0,18,28,0.0,0.1
16:44:57,0,136.0,61.0,15,28,0.0,0.1
16:44:59,0,136.0,61.0,12,28,0.0,0.2
16:45:01,0,136.0,61.0,18,28,0.0,0.2
16:45:03,0,136.0,61.0,12,28,0.0,0.0
